gate 1 (cz, q56, q57)
gate 2 (h, q54)
    gate 1850 (h, q27)
    gate 1851 (z, q36)
    gate 1852 (rx, q26)
    gate 1853 (cz, q20, q21)
    gate 1854 (cx, q22, q23)
    gate 1855 (rx, q39)
    gate 1856 (rz, q35)
    gate 1857 (rz, q30)
    gate 1858 (h, q38)
    gate 1859 (z, q36)
    gate 1860 (rx, q26)
    gate 1861 (z, q28)
    gate 1862 (rz, q27)
    gate 1863 (rx, q24)
    gate 1864 (z, q25)
    gate 1865 (z, q20)
    gate 1866 (z, q35)
    gate 1867 (x, q21)
    gate 1868 (rx, q30)
    gate 1869 (z, q38)
    gate 1870 (z, q36)
    gate 1871 (x, q28)
    gate 1872 (cx, q24, q25)
    gate 1873 (cx, q26, q27)
    gate 1874 (cz, q22, q23)
    gate 1875 (rx, q39)
    gate 1876 (cz, q26, q27)
    gate 1877 (z, q28)
    gate 1878 (h, q30)
    gate 1879 (rz, q39)
    gate 1880 (x, q38)
    gate 1881 (rx, q20)
    gate 1882 (h, q23)
    gate 1883 (rz, q35)
    gate 1884 (h, q25)
    gate 1885 (x, q36)
    gate 1886 (rx, q21)
    gate 1887 (rz, q24)
    gate 1888 (rx, q22)
    gate 1889 (cx, q20, q21)
    gate 1890 (cx, q24, q25)
    gate 1891 (rz, q35)
    gate 1892 (rz, q27)
    gate 1893 (x, q38)
    gate 1894 (rz, q22)
    gate 1895 (h, q36)
    gate 1896 (rx, q30)
    gate 1897 (z, q23)
    gate 1898 (h, q28)
    gate 1899 (rz, q26)
    gate 1900 (z, q39)
    gate 1901 (swap, q30, q31)
    gate 1902 (cx, q31, q29)
    gate 1903 (h, q29)
    gate 1904 (rx, q31)
    gate 1905 (x, q31)
    gate 1906 (x, q29)
    gate 1907 (cx, q31, q29)
    gate 1908 (x, q29)
    gate 1909 (x, q31)
    gate 1910 (cz, q31, q29)
    gate 1911 (rx, q29)
    gate 1912 (rx, q31)
    gate 1913 (cz, q31, q29)
    gate 1914 (cz, q31, q29)
    gate 1915 (swap, q41, q33)
    gate 1916 (swap, q39, q37)
    gate 1917 (swap, q40, q37)
    gate 1918 (cx, q37, q33)
    gate 1919 (cz, q37, q33)
    gate 1920 (x, q33)
    gate 1921 (h, q37)
    gate 1922 (rx, q37)
    gate 1923 (rx, q33)
    gate 1924 (h, q33)
    gate 1925 (h, q37)
    gate 1926 (cx, q37, q33)
    gate 1927 (cz, q37, q33)
    gate 1928 (cx, q37, q33)
    gate 1929 (swap, q27, q34)
    gate 1930 (swap, q36, q32)
    gate 1931 (swap, q26, q34)
    gate 1932 (swap, q29, q34)
    gate 1933 (swap, q31, q34)
    gate 1934 (swap, q30, q34)
    gate 1935 (swap, q35, q34)
    gate 1936 (cz, q34, q32)
    gate 1937 (z, q34)
    gate 1938 (h, q32)
    gate 1939 (h, q34)
    gate 1940 (rx, q32)
    gate 1941 (rx, q34)
    gate 1942 (rz, q32)
    gate 1943 (cx, q34, q32)
    gate 1944 (cx, q34, q32)
    gate 1945 (h, q34)
    gate 1946 (rx, q32)
    gate 1947 (cz, q34, q32)
    gate 1948 (x, q34)
    gate 1949 (rx, q32)
  }
  gate 1950 (h, q53)
  gate 1951 (h, q27)
  gate 1952 (cx, q35, q17)
  gate 1953 (rx, q35)
  gate 1954 (z, q17)
  gate 1955 (h, q53)
  gate 1956 (rx, q27)
  gate 1957 (h, q17)
  gate 1958 (rz, q35)
  gate 1959 (cz, q35, q17)
  gate 1960 (h, q35)
  gate 1961 (rz, q17)
  gate 1962 (x, q17)
  gate 1963 (rx, q35)
  gate 1964 (cz, q35, q17)
  gate 1965 (cz, q35, q17)
  gate 1966 (swap, q64, q53)
  gate 1967 (swap, q8, q9)
  gate 1968 (swap, q7, q6)
  gate 1969 (swap, q29, q31)
  gate 1970 (swap, q45, q54)
  gate 1971 (swap, q52, q54)
  gate 1972 (swap, q16, q9)
  gate 1973 (swap, q26, q9)
  gate 1974 (swap, q31, q9)
  gate 1975 (swap, q51, q54)
  gate 1976 (swap, q46, q54)
  gate 1977 (swap, q29, q54)
  gate 1978 (cx, q54, q9)
  gate 1979 (cz, q54, q9)
  gate 1980 (rz, q9)
  gate 1981 (h, q54)
  gate 1982 (cz, q54, q9)
  gate 1983 (cz, q54, q9)
  gate 1984 (cz, q54, q9)
  gate 1985 (z, q9)
  gate 1986 (rz, q54)
  gate 1987 (cz, q54, q9)
  gate 1988 (cx, q54, q9)
  gate 1989 (swap, q16, q6)
  gate 1990 (swap, q26, q31)
  gate 1991 (cx, q6, q31)
  gate 1992 (rx, q31)
  gate 1993 (rz, q6)
  gate 1994 (cz, q6, q31)
  gate 1995 (cx, q6, q31)
  gate 1996 (cx, q6, q31)
  gate 1997 (cz, q6, q31)
  gate 1998 (cx, q6, q31)
  gate 1999 (cx, q6, q31)
  gate 2000 (h, q6)
  gate 2001 (h, q31)
  gate 2002 (swap, q43, q38)
  gate 2003 (swap, q60, q38)
  gate 2004 (swap, q61, q64)
  gate 2005 (swap, q59, q38)
  gate 2006 (cx, q64, q38)
  gate 2007 (cx, q64, q38)
  gate 2008 (x, q38)
  gate 2009 (z, q64)
  gate 2010 (z, q38)
  gate 2011 (z, q64)
  gate 2012 (cx, q64, q38)
  gate 2013 (cx, q64, q38)
  gate 2014 (cx, q64, q38)
  gate 2015 (cx, q64, q38)
  gate 2016 (swap, q25, q27)
  gate 2017 (swap, q35, q34)
  gate 2018 (swap, q40, q37)
  gate 2019 (swap, q12, q13)
  gate 2020 (swap, q63, q53)
  gate 2021 (swap, q71, q58)
  gate 2022 (swap, q24, q27)
  gate 2023 (swap, q17, q34)
  gate 2024 (cx, q34, q13)
  gate 2025 (rz, q13)
  gate 2026 (x, q34)
  gate 2027 (h, q13)
  gate 2028 (z, q34)
  gate 2029 (cz, q34, q13)
  gate 2030 (cx, q34, q13)
  gate 2031 (z, q13)
  gate 2032 (rz, q34)
  gate 2033 (z, q34)
  gate 2034 (z, q13)
  gate 2035 (h, q13)
  gate 2036 (x, q34)
  gate 2037 (x, q34)
  gate 2038 (rx, q13)
  gate 2039 (cz, q34, q13)
  gate 2040 (swap, q39, q37)
  gate 2041 (swap, q57, q58)
  gate 2042 (swap, q45, q53)
  gate 2043 (swap, q56, q37)
  gate 2044 (cx, q58, q37)
  gate 2045 (cx, q58, q37)
  gate 2046 (rz, q58)
  gate 2047 (h, q37)
  gate 2048 (x, q58)
  gate 2049 (rx, q37)
  gate 2050 (cz, q58, q37)
  gate 2051 (rx, q37)
  gate 2052 (rx, q58)
  gate 2053 (z, q58)
  gate 2054 (z, q37)
  gate 2055 (cx, q58, q37)
  gate 2056 (h, q58)
  gate 2057 (rx, q37)
  gate 2058 (rx, q37)
  gate 2059 (rx, q58)
  gate 2060 (swap, q27, q28)
  gate 2061 (swap, q44, q27)
  gate 2062 (swap, q52, q27)
  gate 2063 (cz, q53, q27)
  gate 2064 (rz, q53)
  gate 2065 (rz, q27)
  gate 2066 (x, q53)
  gate 2067 (x, q27)
  gate 2068 (cx, q53, q27)
  gate 2069 (cx, q53, q27)
  gate 2070 (cx, q53, q27)
  gate 2071 (z, q53)
  gate 2072 (x, q27)
  gate 2073 (h, q27)
  gate 2074 (x, q53)
  gate 2075 (swap, q18, q14)
  gate 2076 (swap, q42, q60)
  gate 2077 (swap, q19, q14)
  gate 2078 (swap, q20, q14)
  gate 2079 (swap, q41, q14)
  gate 2080 (swap, q33, q14)
  gate 2081 (cx, q14, q60)
  gate 2082 (cx, q14, q60)
  gate 2083 (rx, q14)
  gate 2084 (x, q60)
  gate 2085 (cz, q14, q60)
  gate 2086 (z, q14)
  gate 2087 (h, q60)
  gate 2088 (rz, q60)
  gate 2089 (z, q14)
  gate 2090 (rx, q60)
  gate 2091 (z, q14)
  gate 2092 (rx, q14)
  gate 2093 (rx, q60)
  gate 2094 (x, q14)
  gate 2095 (x, q60)
  gate 2096 (rz, q14)
  gate 2097 (x, q60)
  gate 2098 (swap, q44, q28)
  gate 2099 (cx, q52, q28)
  gate 2100 (z, q52)
  gate 2101 (rx, q28)
  gate 2102 (h, q28)
  gate 2103 (rz, q52)
  gate 2104 (h, q52)
  gate 2105 (h, q28)
  gate 2106 (x, q28)
  gate 2107 (rx, q52)
  gate 2108 (h, q52)
  gate 2109 (h, q28)
  gate 2110 (x, q52)
  gate 2111 (h, q28)
  gate 2112 (rz, q28)
  gate 2113 (h, q52)
  gate 2114 (rz, q52)
  gate 2115 (x, q28)
  gate 2116 (h, q28)
  gate 2117 (rz, q52)
  gate 2118 (swap, q0, q1)
  gate 2119 (swap, q16, q6)
  gate 2120 (swap, q10, q11)
  gate 2121 (swap, q13, q12)
  gate 2122 (swap, q18, q19)
  gate 2123 (swap, q34, q17)
  gate 2124 (swap, q20, q41)
  gate 2125 (swap, q26, q9)
  gate 2126 (swap, q54, q29)
  gate 2127 (swap, q42, q43)
  gate 2128 (swap, q52, q27)
  gate 2129 (swap, q56, q37)
  gate 2130 (swap, q53, q45)
  gate 2131 (swap, q49, q65)
  gate 2132 (swap, q58, q57)
  gate 2133 (swap, q64, q61)
  gate 2134 (swap, q7, q16)
  gate 2135 (swap, q6, q31)
  gate 2136 (swap, q11, q13)
  gate 2137 (swap, q30, q17)
  gate 2138 (swap, q29, q46)
  gate 2139 (swap, q42, q59)
  gate 2140 (swap, q28, q52)
  gate 2141 (swap, q57, q71)
  gate 2142 (swap, q63, q45)
  gate 2143 (swap, q13, q34)
  gate 2144 (swap, q31, q26)
  gate 2145 (swap, q60, q42)
  gate 2146 (swap, q51, q46)
  gate 2147 (swap, q61, q63)
  gate 2148 (swap, q27, q51)
  gate 2149 (swap, q34, q17)
  gate 2150 (swap, q27, q53)
  gate 2151 (swap, q17, q35)
  gate 2152 (swap, q10, q11)
  gate 2153 (swap, q8, q10)
  gate 2154 (swap, q6, q8)
  gate 2155 (swap, q6, q31)
  gate 2156 (swap, q31, q26)
  gate 2157 (swap, q8, q10)
  gate 2158 (swap, q25, q26)
  gate 2159 (swap, q10, q11)
  gate 2160 (swap, q24, q25)
  gate 2161 (swap, q11, q13)
  gate 2162 (swap, q8, q10)
  gate 2163 (swap, q6, q8)
  gate 2164 (swap, q31, q26)
  gate 2165 (swap, q23, q24)
  gate 2166 (swap, q22, q23)
  gate 2167 (swap, q8, q10)
  gate 2168 (swap, q21, q22)
  gate 2169 (swap, q41, q21)
  gate 2170 (swap, q41, q33)
  gate 2171 (swap, q23, q24)
  gate 2172 (swap, q33, q14)
  gate 2173 (swap, q40, q14)
  gate 2174 (swap, q6, q31)
  gate 2175 (swap, q26, q9)
  gate 2176 (swap, q44, q28)
  gate 2177 (swap, q31, q26)
  gate 2178 (swap, q24, q44)
  gate 2179 (swap, q9, q54)
  gate 2180 (swap, q54, q29)
  gate 2181 (swap, q54, q30)
  gate 2182 (swap, q29, q46)
  gate 2183 (swap, q46, q47)
  gate 2184 (swap, q9, q54)
  gate 2185 (swap, q47, q55)
  gate 2186 (swap, q24, q25)
  gate 2187 (swap, q25, q26)
  gate 2188 (swap, q31, q26)
  gate 2189 (swap, q6, q31)
  gate 2190 (swap, q26, q9)
  gate 2191 (swap, q24, q25)
  gate 2192 (swap, q24, q44)
  gate 2193 (swap, q31, q26)
  gate 2194 (swap, q44, q28)
  gate 2195 (swap, q19, q20)
  gate 2196 (swap, q41, q33)
  gate 2197 (swap, q20, q41)
  gate 2198 (swap, q42, q59)
  gate 2199 (swap, q59, q38)
  gate 2200 (swap, q19, q20)
  gate 2201 (swap, q41, q33)
  gate 2202 (swap, q42, q59)
}
gate 2203 (cz, q60, q61)
gate 2204 (rz, q47)
gate 2205 (cx, q0, q1)
gate 2206 (x, q9)
gate 2207 (rx, q12)
gate 2208 (h, q13)
gate 2209 (h, q2)
gate 2210 (x, q35)
gate 2211 (x, q14)
gate 2212 (x, q31)
gate 2213 (z, q33)
gate 2214 (rx, q27)
gate 2215 (rz, q34)
gate 2216 (cz, q75, q76)
gate 2217 (cx, q71, q72)
gate 2218 (h, q73)
gate 2219 (x, q54)
gate 2220 (h, q79)
gate 2221 (h, q65)
gate 2222 (x, q74)
gate 2223 (x, q57)
gate 2224 (h, q69)
gate 2225 (z, q46)
gate 2226 (rx, q55)
gate 2227 (x, q24)
gate 2228 (x, q29)
gate 2229 (h, q52)
gate 2230 (x, q42)
gate 2231 (x, q23)
gate 2232 (rz, q21)
gate 2233 (x, q17)
gate 2234 (x, q51)
gate 2235 (rz, q50)
gate 2236 (rx, q68)
gate 2237 (rx, q53)
gate 2238 (z, q39)
gate 2239 (h, q37)
gate 2240 (rz, q25)
gate 2241 (x, q29)
gate 2242 (rx, q25)
gate 2243 (cz, q0, q1)
gate 2244 (cz, q27, q34)
gate 2245 (h, q12)
gate 2246 (z, q33)
gate 2247 (x, q31)
gate 2248 (z, q13)
gate 2249 (z, q2)
gate 2250 (z, q35)
gate 2251 (cz, q75, q76)
gate 2252 (cz, q71, q72)
gate 2253 (rx, q73)
gate 2254 (h, q69)
gate 2255 (h, q79)
gate 2256 (x, q65)
gate 2257 (rx, q54)
gate 2258 (rz, q57)
gate 2259 (h, q74)
gate 2260 (rx, q51)
gate 2261 (rx, q52)
gate 2262 (rx, q53)
gate 2263 (cx, q60, q61)
gate 2264 (h, q37)
gate 2265 (rz, q39)
gate 2266 (rx, q21)
gate 2267 (h, q42)
gate 2268 (h, q17)
gate 2269 (z, q37)
gate 2270 (rx, q39)
gate 2271 (x, q17)
gate 2272 (rx, q25)
gate 2273 (x, q21)
gate 2274 (rx, q0)
gate 2275 (rz, q31)
gate 2276 (h, q34)
gate 2277 (rx, q35)
gate 2278 (h, q33)
gate 2279 (h, q27)
gate 2280 (rz, q2)
gate 2281 (z, q1)
gate 2282 (cx, q71, q72)
gate 2283 (cz, q75, q76)
gate 2284 (cx, q56, q57)
gate 2285 (z, q79)
gate 2286 (rx, q54)
gate 2287 (x, q65)
gate 2288 (rz, q74)
gate 2289 (x, q73)
gate 2290 (z, q69)
gate 2291 (z, q53)
gate 2292 (cx, q60, q61)
gate 2293 (rz, q21)
gate 2294 (x, q37)
gate 2295 (rx, q25)
gate 2296 (rx, q39)
gate 2297 (z, q17)
gate 2298 (cx, q27, q34)
gate 2299 (cx, q0, q1)
gate 2300 (h, q35)
gate 2301 (rx, q31)
gate 2302 (x, q2)
gate 2303 (rz, q33)
gate 2304 (cz, q56, q57)
gate 2305 (cx, q71, q72)
gate 2306 (h, q79)
gate 2307 (rx, q76)
gate 2308 (rz, q69)
gate 2309 (rx, q75)
gate 2310 (rx, q74)
gate 2311 (h, q54)
gate 2312 (rx, q73)
gate 2313 (x, q65)
gate 2314 (h, q53)
gate 2315 (cz, q60, q61)
gate 2316 (z, q25)
gate 2317 (x, q39)
gate 2318 (rx, q21)
gate 2319 (h, q37)
gate 2320 (x, q17)
gate 2321 (cx, q27, q34)
gate 2322 (cz, q0, q1)
gate 2323 (x, q35)
gate 2324 (rx, q2)
gate 2325 (x, q31)
gate 2326 (rz, q33)
gate 2327 (cx, q75, q76)
gate 2328 (cz, q56, q57)
gate 2329 (z, q71)
gate 2330 (h, q72)
gate 2331 (x, q79)
gate 2332 (rx, q54)
gate 2333 (rz, q69)
gate 2334 (x, q73)
gate 2335 (rz, q53)
gate 2336 (h, q61)
gate 2337 (rx, q60)
gate 2338 (z, q17)
gate 2339 (h, q25)
gate 2340 (rx, q37)
gate 2341 (rz, q39)
gate 2342 (rx, q21)
gate 2343 (x, q2)
gate 2344 (cx, q27, q34)
gate 2345 (x, q35)
gate 2346 (rz, q33)
gate 2347 (rx, q0)
gate 2348 (rz, q31)
gate 2349 (rx, q1)
gate 2350 (cx, q71, q72)
gate 2351 (cx, q75, q76)
gate 2352 (rx, q73)
gate 2353 (x, q57)
gate 2354 (z, q79)
gate 2355 (h, q54)
gate 2356 (x, q56)
gate 2357 (rx, q69)
gate 2358 (x, q53)
gate 2359 (cx, q60, q61)
gate 2360 (rz, q39)
gate 2361 (h, q17)
gate 2362 (x, q21)
gate 2363 (h, q25)
gate 2364 (h, q37)
gate 2365 (z, q1)
gate 2366 (z, q34)
gate 2367 (rx, q0)
gate 2368 (rx, q33)
gate 2369 (h, q35)
gate 2370 (rx, q27)
gate 2371 (rx, q31)
gate 2372 (h, q2)
gate 2373 (cx, q56, q57)
gate 2374 (z, q79)
gate 2375 (h, q75)
gate 2376 (z, q71)
gate 2377 (x, q69)
gate 2378 (rx, q73)
gate 2379 (rx, q76)
gate 2380 (h, q54)
gate 2381 (x, q72)
gate 2382 (cx, q60, q61)
gate 2383 (h, q21)
gate 2384 (rz, q39)
gate 2385 (rx, q37)
gate 2386 (x, q25)
gate 2387 (z, q17)
gate 2388 (z, q34)
gate 2389 (cx, q0, q1)
gate 2390 (rx, q2)
gate 2391 (rx, q35)
gate 2392 (x, q27)
gate 2393 (rx, q31)
gate 2394 (rx, q33)
gate 2395 (cz, q71, q72)
gate 2396 (cx, q75, q76)
gate 2397 (cz, q56, q57)
gate 2398 (rx, q73)
gate 2399 (z, q54)
gate 2400 (rz, q69)
gate 2401 (x, q79)
gate 2402 (cx, q60, q61)
gate 2403 (cx, q60, q61)
gate 2404 (rz, q21)
gate 2405 (z, q25)
gate 2406 (rz, q37)
gate 2407 (x, q17)
gate 2408 (rz, q39)
gate 2409 (cz, q27, q34)
gate 2410 (rz, q35)
gate 2411 (h, q2)
gate 2412 (rx, q33)
gate 2413 (z, q0)
gate 2414 (x, q31)
gate 2415 (x, q1)
gate 2416 (cz, q56, q57)
gate 2417 (cx, q75, q76)
gate 2418 (z, q73)
gate 2419 (z, q54)
gate 2420 (rx, q79)
gate 2421 (x, q71)
gate 2422 (z, q72)
gate 2423 (h, q69)
gate 2424 (rx, q60)
gate 2425 (rx, q61)
gate 2426 (rz, q25)
gate 2427 (rz, q37)
gate 2428 (rx, q17)
gate 2429 (rx, q39)
gate 2430 (x, q21)
gate 2431 (cx, q0, q1)
gate 2432 (rz, q27)
gate 2433 (x, q34)
gate 2434 (h, q31)
gate 2435 (x, q35)
gate 2436 (h, q2)
gate 2437 (x, q33)
gate 2438 (cx, q75, q76)
gate 2439 (cx, q71, q72)
gate 2440 (cz, q56, q57)
gate 2441 (h, q69)
gate 2442 (rz, q54)
gate 2443 (rx, q79)
gate 2444 (rz, q73)
gate 2445 (h, q17)
gate 2446 (z, q72)
gate 2447 (h, q69)
gate 2448 (rz, q71)
gate 2449 (z, q56)
gate 2450 (x, q75)
gate 2451 (x, q73)
gate 2452 (rz, q54)
gate 2453 (z, q57)
gate 2454 (z, q21)
gate 2455 (x, q17)
gate 2456 (rz, q72)
gate 2457 (h, q56)
gate 2458 (rz, q73)
gate 2459 (rx, q57)
gate 2460 (x, q75)
gate 2461 (rx, q54)
gate 2462 (h, q21)
gate 2463 (h, q17)
gate 2464 (z, q72)
gate 2465 (rz, q54)
gate 2466 (rz, q73)
gate 2467 (h, q56)
gate 2468 (z, q75)
gate 2469 (z, q57)
gate 2470 (x, q21)
gate 2471 (h, q17)
gate 2472 (z, q73)
gate 2473 (h, q54)
gate 2474 (h, q56)
gate 2475 (z, q57)
gate 2476 (x, q75)
gate 2477 (h, q17)
gate 2478 (h, q57)
gate 2479 (x, q54)
gate 2480 (z, q73)
gate 2481 (rz, q75)
gate 2482 (rx, q56)
gate 2483 (rx, q17)
gate 2484 (cz, q56, q57)
gate 2485 (rx, q54)
gate 2486 (rx, q75)
gate 2487 (rz, q73)
gate 2488 (rz, q17)
gate 2489 (cz, q56, q57)
gate 2490 (x, q75)
gate 2491 (x, q54)
gate 2492 (x, q73)
gate 2493 (h, q75)
gate 2494 (h, q17)
gate 2495 (cz, q56, q57)
gate 2496 (rx, q73)
gate 2497 (h, q54)
gate 2498 (h, q75)
gate 2499 (rx, q73)
gate 2500 (h, q57)
gate 2501 (x, q56)
gate 2502 (z, q54)
gate 2503 (z, q17)
gate 2504 (z, q54)
gate 2505 (x, q57)
gate 2506 (h, q75)
gate 2507 (rx, q56)
gate 2508 (x, q73)
gate 2509 (rx, q17)
gate 2510 (cx, q56, q57)
gate 2511 (rx, q73)
gate 2512 (z, q17)
gate 2513 (z, q73)
gate 2514 (rx, q56)
gate 2515 (h, q57)
gate 2516 (x, q57)
gate 2517 (rz, q73)
gate 2518 (rz, q56)
gate 2519 (rx, q57)
gate 2520 (rx, q56)
gate 2521 (z, q57)
gate 2522 (rx, q56)
gate 2523 (cz, q56, q57)
gate 2524 (z, q57)
gate 2525 (z, q56)
gate 2526 (rx, q56)
gate 2527 (z, q57)
gate 2528 (cx, q56, q57)
gate 2529 (rz, q56)
gate 2530 (rz, q57)
gate 2531 (swap, q47, q55)
gate 2532 (swap, q55, q51)
gate 2533 (cx, q51, q52)
gate 2534 (cz, q51, q52)
gate 2535 (z, q51)
gate 2536 (rz, q52)
gate 2537 (x, q52)
gate 2538 (x, q51)
gate 2539 (cx, q51, q52)
gate 2540 (cz, q51, q52)
gate 2541 (cz, q51, q52)
gate 2542 (cx, q51, q52)
gate 2543 (swap, q55, q29)
gate 2544 (cz, q46, q55)
gate 2545 (rz, q46)
gate 2546 (rx, q55)
gate 2547 (rx, q46)
gate 2548 (x, q55)
gate 2549 (cx, q46, q55)
gate 2550 (cx, q46, q55)
gate 2551 (cz, q46, q55)
gate 2552 (cz, q46, q55)
gate 2553 (h, q46)
gate 2554 (rx, q55)
gate 2555 (rx, q55)
gate 2556 (rz, q46)
gate 2557 (x, q55)
gate 2558 (h, q46)
gate 2559 (cx, q46, q55)
gate 2560 (cx, q46, q55)
gate 2561 (cz, q46, q55)
gate 2562 (cx, q46, q55)
gate 2563 (rz, q55)
gate 2564 (z, q46)
gate 2565 (rx, q46)
gate 2566 (z, q55)
gate 2567 (z, q46)
gate 2568 (rz, q55)
gate 2569 (rz, q55)
gate 2570 (z, q46)
gate 2571 (rz, q46)
gate 2572 (rz, q55)
gate 2573 (z, q55)
gate 2574 (rz, q46)
gate 2575 (cz, q46, q55)
gate 2576 (rz, q46)
gate 2577 (z, q55)
gate 2578 (rx, q46)
gate 2579 (h, q55)
gate 2580 (cx, q46, q55)
gate 2581 (rz, q46)
gate 2582 (h, q55)
gate 2583 (cz, q46, q55)
gate 2584 (rx, q55)
gate 2585 (rz, q46)
gate 2586 (x, q46)
gate 2587 (x, q55)
gate 2588 (rz, q55)
gate 2589 (h, q46)
gate 2590 (swap, q40, q12)
gate 2591 (cx, q39, q40)
gate 2592 (rz, q40)
gate 2593 (z, q39)
gate 2594 (rz, q39)
gate 2595 (h, q40)
gate 2596 (x, q39)
gate 2597 (rx, q40)
gate 2598 (rx, q40)
gate 2599 (rx, q39)
gate 2600 (rx, q39)
gate 2601 (h, q40)
gate 2602 (cz, q39, q40)
gate 2603 (cx, q39, q40)
gate 2604 (cx, q39, q40)
gate 2605 (cx, q39, q40)
gate 2606 (cx, q39, q40)
gate 2607 (cx, q39, q40)
gate 2608 (cx, q39, q40)
gate 2609 (cx, q39, q40)
gate 2610 (z, q39)
gate 2611 (rx, q40)
gate 2612 (rz, q39)
gate 2613 (rz, q40)
gate 2614 (z, q39)
gate 2615 (rz, q40)
gate 2616 (cz, q39, q40)
gate 2617 (cz, q39, q40)
gate 2618 (cx, q39, q40)
gate 2619 (swap, q33, q18)
gate 2620 (swap, q20, q18)
gate 2621 (swap, q21, q18)
gate 2622 (swap, q41, q20)
gate 2623 (swap, q10, q35)
gate 2624 (swap, q46, q10)
gate 2625 (swap, q23, q18)
gate 2626 (swap, q44, q11)
gate 2627 (cx, q11, q22)
gate 2628 (cz, q11, q22)
gate 2629 (cx, q11, q22)
gate 2630 (cz, q11, q22)
gate 2631 (cx, q11, q22)
gate 2632 (cz, q11, q22)
gate 2633 (rx, q11)
gate 2634 (h, q22)
gate 2635 (cz, q11, q22)
gate 2636 (cx, q11, q22)
gate 2637 (cx, q11, q22)
gate 2638 (rx, q22)
gate 2639 (rx, q22)
gate 2640 (h, q22)
gate 2641 (swap, q22, q18)
gate 2642 (swap, q24, q18)
gate 2643 (swap, q25, q18)
gate 2644 (swap, q26, q18)
gate 2645 (swap, q55, q18)
gate 2646 (cz, q10, q18)
gate 2647 (cz, q10, q18)
gate 2648 (rx, q10)
gate 2649 (h, q18)
gate 2650 (rx, q10)
gate 2651 (h, q18)
gate 2652 (cx, q10, q18)
gate 2653 (rx, q18)
gate 2654 (rz, q10)
gate 2655 (h, q18)
gate 2656 (rx, q10)
gate 2657 (h, q18)
gate 2658 (rz, q10)
gate 2659 (cz, q10, q18)
gate 2660 (cx, q10, q18)
gate 2661 (cx, q10, q18)
gate 2662 (cx, q10, q18)
gate 2663 (cx, q10, q18)
gate 2664 (h, q18)
gate 2665 (h, q10)
gate 2666 (x, q10)
gate 2667 (rx, q18)
gate 2668 (cx, q10, q18)
gate 2669 (cx, q10, q18)
gate 2670 (rx, q18)
gate 2671 (z, q10)
gate 2672 (cz, q10, q18)
gate 2673 (z, q10)
gate 2674 (rz, q18)
gate 2675 (z, q18)
gate 2676 (swap, q38, q59)
gate 2677 (swap, q71, q58)
gate 2678 (swap, q19, q14)
gate 2679 (cz, q19, q20)
gate 2680 (z, q19)
gate 2681 (rz, q20)
gate 2682 (rz, q19)
gate 2683 (rz, q20)
gate 2684 (cz, q19, q20)
gate 2685 (h, q20)
gate 2686 (rz, q19)
gate 2687 (z, q19)
gate 2688 (z, q20)
gate 2689 (cx, q19, q20)
gate 2690 (cx, q19, q20)
gate 2691 (x, q20)
gate 2692 (x, q19)
gate 2693 (cx, q19, q20)
gate 2694 (rz, q19)
gate 2695 (rx, q20)
gate 2696 (rx, q19)
gate 2697 (rz, q20)
gate 2698 (h, q19)
gate 2699 (x, q19)
gate 2700 (h, q19)
gate 2701 (rz, q19)
gate 2702 (x, q19)
gate 2703 (rx, q19)
gate 2704 (rz, q19)
gate 2705 (rz, q19)
gate 2706 (rx, q19)
gate 2707 (x, q19)
gate 2708 (cz, q19, q20)
gate 2709 (x, q19)
gate 2710 (h, q20)
gate 2711 (h, q19)
gate 2712 (rx, q20)
gate 2713 (cx, q19, q20)
gate 2714 (cz, q19, q20)
gate 2715 (rz, q20)
gate 2716 (rz, q19)
gate 2717 (rz, q20)
gate 2718 (x, q19)
gate 2719 (x, q19)
gate 2720 (rx, q20)
gate 2721 (swap, q72, q58)
gate 2722 (swap, q60, q58)
gate 2723 (swap, q43, q58)
gate 2724 (cx, q58, q59)
gate 2725 (cx, q58, q59)
gate 2726 (cz, q58, q59)
gate 2727 (cz, q58, q59)
gate 2728 (rz, q59)
gate 2729 (rz, q58)
gate 2730 (z, q59)
gate 2731 (rx, q58)
gate 2732 (cx, q58, q59)
gate 2733 (rx, q59)
gate 2734 (h, q58)
gate 2735 (cz, q58, q59)
gate 2736 (z, q58)
gate 2737 (rz, q59)
gate 2738 (z, q58)
gate 2739 (rx, q59)
gate 2740 (x, q58)
gate 2741 (rz, q58)
gate 2742 (h, q58)
gate 2743 (z, q58)
gate 2744 (rx, q58)
gate 2745 (h, q58)
gate 2746 (x, q58)
gate 2747 (rx, q58)
gate 2748 (h, q58)
gate 2749 (swap, q42, q59)
gate 2750 (swap, q42, q38)
gate 2751 (swap, q42, q12)
gate 2752 (swap, q33, q42)
gate 2753 (swap, q51, q29)
gate 2754 (swap, q52, q29)
gate 2755 (swap, q29, q45)
gate 2756 (swap, q49, q65)
gate 2757 (cz, q65, q74)
gate 2758 (rz, q65)
gate 2759 (x, q74)
gate 2760 (cz, q65, q74)
gate 2761 (x, q74)
gate 2762 (x, q65)
gate 2763 (z, q65)
gate 2764 (z, q74)
gate 2765 (x, q74)
gate 2766 (h, q65)
gate 2767 (cx, q65, q74)
gate 2768 (z, q74)
gate 2769 (rx, q65)
gate 2770 (rz, q65)
gate 2771 (rx, q74)
